# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1348969 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1348970 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1348971 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1348972 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1348973 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1348974 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1348975 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1348976 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1867977 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1867978 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1867979 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1867983 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1867986 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1867987 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1867988 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1867989 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.19    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
         256             4     float    none      -1    42.88    0.01    0.01       0    42.64    0.01    0.01       0
         512             8     float    none      -1    42.65    0.01    0.01       0    42.60    0.01    0.01       0
        1024            16     float    none      -1    42.81    0.02    0.02       0    42.77    0.02    0.02       0
        2048            32     float    none      -1    42.88    0.05    0.04       0    42.81    0.05    0.04       0
        4096            64     float    none      -1    42.73    0.10    0.09       0    42.75    0.10    0.09       0
        8192           128     float    none      -1    42.90    0.19    0.18       0    42.94    0.19    0.18       0
       16384           256     float    none      -1    43.76    0.37    0.35       0    43.94    0.37    0.35       0
       32768           512     float    none      -1    45.13    0.73    0.68       0    44.94    0.73    0.68       0
       65536          1024     float    none      -1    48.39    1.35    1.27       0    48.48    1.35    1.27       0
      131072          2048     float    none      -1    50.93    2.57    2.41       0    50.76    2.58    2.42       0
      262144          4096     float    none      -1    52.71    4.97    4.66       0    52.45    5.00    4.69       0
      524288          8192     float    none      -1    54.24    9.67    9.06       0    54.47    9.63    9.02       0
     1048576         16384     float    none      -1    64.41   16.28   15.26       0    62.95   16.66   15.62       0
     2097152         32768     float    none      -1   170.59   12.29   11.53       0   169.39   12.38   11.61       0
     4194304         65536     float    none      -1   175.90   23.84   22.35       0   174.52   24.03   22.53       0
     8388608        131072     float    none      -1   185.97   45.11   42.29       0   185.11   45.32   42.49       0
    16777216        262144     float    none      -1   226.40   74.10   69.47       0   223.63   75.02   70.33       0
    33554432        524288     float    none      -1   274.44  122.26  114.62       0   272.33  123.21  115.51       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.3164 
#
# Collective test concluded: all_gather_perf
#

