# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1345988 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1345989 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1345990 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1345991 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1345992 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1345993 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1345994 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1345995 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1866098 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1866099 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1866100 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1866101 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1866102 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1866103 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1866104 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1866105 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    31.08    0.00    0.00       0    29.80    0.00    0.00       0
           8             2     float     sum      -1    29.97    0.00    0.00       0    30.04    0.00    0.00       0
          16             4     float     sum      -1    31.20    0.00    0.00       0    30.05    0.00    0.00       0
          32             8     float     sum      -1    30.21    0.00    0.00       0    30.19    0.00    0.00       0
          64            16     float     sum      -1    30.77    0.00    0.00       0    30.47    0.00    0.00       0
         128            32     float     sum      -1    30.71    0.00    0.01       0    30.84    0.00    0.01       0
         256            64     float     sum      -1    31.28    0.01    0.02       0    31.17    0.01    0.02       0
         512           128     float     sum      -1    32.20    0.02    0.03       0    31.38    0.02    0.03       0
        1024           256     float     sum      -1    32.22    0.03    0.06       0    31.80    0.03    0.06       0
        2048           512     float     sum      -1    33.22    0.06    0.12       0    33.43    0.06    0.11       0
        4096          1024     float     sum      -1    35.59    0.12    0.22       0    34.71    0.12    0.22       0
        8192          2048     float     sum      -1    36.92    0.22    0.42       0    36.13    0.23    0.43       0
       16384          4096     float     sum      -1    37.48    0.44    0.82       0    36.29    0.45    0.85       0
       32768          8192     float     sum      -1    37.63    0.87    1.63       0    36.64    0.89    1.68       0
       65536         16384     float     sum      -1    37.98    1.73    3.24       0    37.01    1.77    3.32       0
      131072         32768     float     sum      -1    42.84    3.06    5.74       0    41.61    3.15    5.91       0
      262144         65536     float     sum      -1    51.47    5.09    9.55       0    50.63    5.18    9.71       0
      524288        131072     float     sum      -1    69.47    7.55   14.15       0    69.09    7.59   14.23       0
     1048576        262144     float     sum      -1    89.91   11.66   21.87       0    89.61   11.70   21.94       0
     2097152        524288     float     sum      -1   103.15   20.33   38.12       0    92.81   22.60   42.37       0
     4194304       1048576     float     sum      -1   108.93   38.50   72.19       0   108.84   38.54   72.25       0
     8388608       2097152     float     sum      -1   148.40   56.53  105.99       0   147.95   56.70  106.31       0
    16777216       4194304     float     sum      -1   201.38   83.31  156.21       0   200.19   83.80  157.13       0
    33554432       8388608     float     sum      -1   270.45  124.07  232.63       0   262.14  128.00  240.01       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 27.9079 
#
# Collective test concluded: all_reduce_perf
#

