# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1017343 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1017344 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1017345 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1017346 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1017347 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1017348 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1017349 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1017350 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 2399729 on h200-bar-202-131 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 2399730 on h200-bar-202-131 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 2399731 on h200-bar-202-131 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 2399732 on h200-bar-202-131 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 2399733 on h200-bar-202-131 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 2399734 on h200-bar-202-131 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 2399735 on h200-bar-202-131 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 2399736 on h200-bar-202-131 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    26.92    0.00    0.00       0    24.38    0.00    0.00       0
           8             2     float     sum      -1    24.29    0.00    0.00       0    24.54    0.00    0.00       0
          16             4     float     sum      -1    24.62    0.00    0.00       0    24.46    0.00    0.00       0
          32             8     float     sum      -1    24.63    0.00    0.00       0    24.65    0.00    0.00       0
          64            16     float     sum      -1    25.19    0.00    0.00       0    24.77    0.00    0.00       0
         128            32     float     sum      -1    25.51    0.01    0.01       0    25.18    0.01    0.01       0
         256            64     float     sum      -1    25.95    0.01    0.02       0    25.47    0.01    0.02       0
         512           128     float     sum      -1    26.41    0.02    0.04       0    25.98    0.02    0.04       0
        1024           256     float     sum      -1    26.57    0.04    0.07       0    26.45    0.04    0.07       0
        2048           512     float     sum      -1    27.65    0.07    0.14       0    27.68    0.07    0.14       0
        4096          1024     float     sum      -1    29.86    0.14    0.26       0    29.51    0.14    0.26       0
        8192          2048     float     sum      -1    31.09    0.26    0.49       0    30.15    0.27    0.51       0
       16384          4096     float     sum      -1    31.36    0.52    0.98       0    30.88    0.53    0.99       0
       32768          8192     float     sum      -1    32.48    1.01    1.89       0    31.17    1.05    1.97       0
       65536         16384     float     sum      -1    32.48    2.02    3.78       0    31.94    2.05    3.85       0
      131072         32768     float     sum      -1    37.83    3.46    6.50       0    36.44    3.60    6.74       0
      262144         65536     float     sum      -1    46.16    5.68   10.65       0    45.25    5.79   10.86       0
      524288        131072     float     sum      -1    53.03    9.89   18.54       0    53.05    9.88   18.53       0
     1048576        262144     float     sum      -1    62.87   16.68   31.27       0    62.72   16.72   31.34       0
     2097152        524288     float     sum      -1    86.66   24.20   45.38       0    75.94   27.62   51.78       0
     4194304       1048576     float     sum      -1    94.81   44.24   82.95       0    94.82   44.23   82.94       0
     8388608       2097152     float     sum      -1   134.97   62.15  116.53       0   134.31   62.46  117.11       0
    16777216       4194304     float     sum      -1   182.72   91.82  172.16       0   181.15   92.61  173.65       0
    33554432       8388608     float     sum      -1   261.35  128.39  240.73       0   260.26  128.93  241.74       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 30.7283 
#
# Collective test concluded: all_reduce_perf
#

