# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1375564 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1375565 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1375566 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1375567 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1375568 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1375569 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1375570 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1375571 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1885916 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1885917 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1885918 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1885919 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1885920 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1885921 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1885922 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1885923 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    30.70    0.00    0.00       0    29.74    0.00    0.00       0
           8             2     float     sum      -1    29.70    0.00    0.00       0    29.72    0.00    0.00       0
          16             4     float     sum      -1    29.90    0.00    0.00       0    29.84    0.00    0.00       0
          32             8     float     sum      -1    30.25    0.00    0.00       0    29.82    0.00    0.00       0
          64            16     float     sum      -1    30.33    0.00    0.00       0    30.08    0.00    0.00       0
         128            32     float     sum      -1    30.49    0.00    0.01       0    30.36    0.00    0.01       0
         256            64     float     sum      -1    31.16    0.01    0.02       0    30.70    0.01    0.02       0
         512           128     float     sum      -1    31.27    0.02    0.03       0    31.08    0.02    0.03       0
        1024           256     float     sum      -1    32.24    0.03    0.06       0    31.66    0.03    0.06       0
        2048           512     float     sum      -1    33.15    0.06    0.12       0    32.88    0.06    0.12       0
        4096          1024     float     sum      -1    35.43    0.12    0.22       0    35.11    0.12    0.22       0
        8192          2048     float     sum      -1    36.59    0.22    0.42       0    35.85    0.23    0.43       0
       16384          4096     float     sum      -1    40.03    0.41    0.77       0    36.20    0.45    0.85       0
       32768          8192     float     sum      -1    37.47    0.87    1.64       0    36.72    0.89    1.67       0
       65536         16384     float     sum      -1    37.96    1.73    3.24       0    37.01    1.77    3.32       0
      131072         32768     float     sum      -1    42.71    3.07    5.75       0    41.80    3.14    5.88       0
      262144         65536     float     sum      -1    51.39    5.10    9.56       0    50.48    5.19    9.74       0
      524288        131072     float     sum      -1    69.17    7.58   14.21       0    69.08    7.59   14.23       0
     1048576        262144     float     sum      -1    89.67   11.69   21.93       0    89.59   11.70   21.94       0
     2097152        524288     float     sum      -1   105.47   19.88   37.28       0    89.05   23.55   44.16       0
     4194304       1048576     float     sum      -1   107.86   38.89   72.91       0   107.96   38.85   72.84       0
     8388608       2097152     float     sum      -1   147.44   56.90  106.68       0   147.42   56.90  106.69       0
    16777216       4194304     float     sum      -1   194.98   86.04  161.33       0   196.57   85.35  160.03       0
    33554432       8388608     float     sum      -1   264.33  126.94  238.02       0   263.48  127.35  238.79       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.234 
#
# Collective test concluded: all_reduce_perf
#

