# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 3871835 on h200-bar-202-059 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 3871836 on h200-bar-202-059 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 3871837 on h200-bar-202-059 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 3871838 on h200-bar-202-059 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 3871839 on h200-bar-202-059 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 3871840 on h200-bar-202-059 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 3871841 on h200-bar-202-059 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 3871842 on h200-bar-202-059 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1410127 on h200-bar-202-061 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1410128 on h200-bar-202-061 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1410129 on h200-bar-202-061 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1410130 on h200-bar-202-061 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1410131 on h200-bar-202-061 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1410132 on h200-bar-202-061 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1410133 on h200-bar-202-061 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1410134 on h200-bar-202-061 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    25.71    0.00    0.00       0    24.47    0.00    0.00       0
           8             2     float     sum      -1    24.36    0.00    0.00       0    24.41    0.00    0.00       0
          16             4     float     sum      -1    24.39    0.00    0.00       0    24.81    0.00    0.00       0
          32             8     float     sum      -1    24.87    0.00    0.00       0    24.65    0.00    0.00       0
          64            16     float     sum      -1    24.95    0.00    0.00       0    24.73    0.00    0.00       0
         128            32     float     sum      -1    25.25    0.01    0.01       0    25.13    0.01    0.01       0
         256            64     float     sum      -1    25.88    0.01    0.02       0    25.46    0.01    0.02       0
         512           128     float     sum      -1    25.98    0.02    0.04       0    26.06    0.02    0.04       0
        1024           256     float     sum      -1    26.68    0.04    0.07       0    26.34    0.04    0.07       0
        2048           512     float     sum      -1    27.80    0.07    0.14       0    27.93    0.07    0.14       0
        4096          1024     float     sum      -1    30.26    0.14    0.25       0    29.53    0.14    0.26       0
        8192          2048     float     sum      -1    31.37    0.26    0.49       0    30.53    0.27    0.50       0
       16384          4096     float     sum      -1    41.33    0.40    0.74       0    30.78    0.53    1.00       0
       32768          8192     float     sum      -1    32.15    1.02    1.91       0    31.06    1.05    1.98       0
       65536         16384     float     sum      -1    32.60    2.01    3.77       0    31.58    2.08    3.89       0
      131072         32768     float     sum      -1    37.30    3.51    6.59       0    36.44    3.60    6.74       0
      262144         65536     float     sum      -1    45.83    5.72   10.72       0    45.07    5.82   10.91       0
      524288        131072     float     sum      -1    66.85    7.84   14.71       0   290.47    1.80    3.38       0
     1048576        262144     float     sum      -1    71.61   14.64   27.46       0   187.75    5.58   10.47       0
     2097152        524288     float     sum      -1    88.57   23.68   44.40       0    80.78   25.96   48.68       0
     4194304       1048576     float     sum      -1    95.83   43.77   82.06       0    95.76   43.80   82.13       0
     8388608       2097152     float     sum      -1   136.18   61.60  115.50       0   134.65   62.30  116.81       0
    16777216       4194304     float     sum      -1   182.77   91.79  172.11       0   179.78   93.32  174.98       0
    33554432       8388608     float     sum      -1   260.90  128.61  241.14       0   258.94  129.59  242.97       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 29.7317 
#
# Collective test concluded: all_reduce_perf
#

