# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1346984 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1346985 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1346986 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1346987 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1346988 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1346989 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1346990 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1346991 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1866726 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1866727 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1866728 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1866729 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1866730 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1866731 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1866732 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1866733 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.20    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.18    0.00    0.00    N/A
         256             4     float    none      -1    42.09    0.01    0.01       0    42.40    0.01    0.01    N/A
         512             8     float    none      -1    41.14    0.01    0.01       0    41.20    0.01    0.01    N/A
        1024            16     float    none      -1    41.31    0.02    0.02       0    40.80    0.03    0.02    N/A
        2048            32     float    none      -1    40.96    0.05    0.05       0    41.19    0.05    0.05    N/A
        4096            64     float    none      -1    41.19    0.10    0.09       0    40.85    0.10    0.09    N/A
        8192           128     float    none      -1    40.93    0.20    0.19       0    41.15    0.20    0.19    N/A
       16384           256     float    none      -1    41.68    0.39    0.37       0    42.81    0.38    0.36    N/A
       32768           512     float    none      -1    43.66    0.75    0.70       0    42.87    0.76    0.72    N/A
       65536          1024     float    none      -1    43.47    1.51    1.41       0    42.80    1.53    1.44    N/A
      131072          2048     float    none      -1    45.41    2.89    2.71       0    44.87    2.92    2.74    N/A
      262144          4096     float    none      -1    50.83    5.16    4.83       0    57.42    4.57    4.28    N/A
      524288          8192     float    none      -1    61.09    8.58    8.05       0    59.74    8.78    8.23    N/A
     1048576         16384     float    none      -1    84.72   12.38   11.60       0    85.67   12.24   11.48    N/A
     2097152         32768     float    none      -1   108.34   19.36   18.15       0   107.20   19.56   18.34    N/A
     4194304         65536     float    none      -1   129.33   32.43   30.41       0   127.11   33.00   30.94    N/A
     8388608        131072     float    none      -1   175.80   47.72   44.73       0   173.58   48.33   45.31    N/A
    16777216        262144     float    none      -1   283.82   59.11   55.42       0   287.38   58.38   54.73    N/A
    33554432        524288     float    none      -1   468.76   71.58   67.11       0   468.12   71.68   67.20    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 10.2493 
#
# Collective test concluded: alltoall_perf
#

