# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1015341 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1015342 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1015343 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1015344 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1015345 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1015346 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1015347 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1015348 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 2398479 on h200-bar-202-131 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 2398480 on h200-bar-202-131 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 2398481 on h200-bar-202-131 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 2398482 on h200-bar-202-131 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 2398483 on h200-bar-202-131 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 2398484 on h200-bar-202-131 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 2398485 on h200-bar-202-131 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 2398486 on h200-bar-202-131 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.19    0.00    0.00       0     0.25    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00    N/A
           0             0     float    none      -1     0.17    0.00    0.00       0     0.17    0.00    0.00    N/A
         256             4     float    none      -1    34.23    0.01    0.01       0    33.32    0.01    0.01    N/A
         512             8     float    none      -1    32.65    0.02    0.01       0    32.33    0.02    0.01    N/A
        1024            16     float    none      -1    33.63    0.03    0.03       0    32.55    0.03    0.03    N/A
        2048            32     float    none      -1    33.21    0.06    0.06       0    32.61    0.06    0.06    N/A
        4096            64     float    none      -1    32.23    0.13    0.12       0    32.96    0.12    0.12    N/A
        8192           128     float    none      -1    32.43    0.25    0.24       0    32.06    0.26    0.24    N/A
       16384           256     float    none      -1    34.22    0.48    0.45       0    33.35    0.49    0.46    N/A
       32768           512     float    none      -1    34.90    0.94    0.88       0    34.54    0.95    0.89    N/A
       65536          1024     float    none      -1    36.04    1.82    1.70       0    35.10    1.87    1.75    N/A
      131072          2048     float    none      -1    36.87    3.55    3.33       0    36.66    3.58    3.35    N/A
      262144          4096     float    none      -1    42.36    6.19    5.80       0    42.34    6.19    5.80    N/A
      524288          8192     float    none      -1    51.85   10.11    9.48       0    51.22   10.24    9.60    N/A
     1048576         16384     float    none      -1    66.01   15.89   14.89       0    67.05   15.64   14.66    N/A
     2097152         32768     float    none      -1    89.58   23.41   21.95       0    94.55   22.18   20.79    N/A
     4194304         65536     float    none      -1   110.64   37.91   35.54       0   110.25   38.04   35.67    N/A
     8388608        131072     float    none      -1   161.76   51.86   48.62       0   157.51   53.26   49.93    N/A
    16777216        262144     float    none      -1   271.76   61.73   57.88       0   264.84   63.35   59.39    N/A
    33554432        524288     float    none      -1   446.41   75.17   70.47       0   444.13   75.55   70.83    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 11.355 
#
# Collective test concluded: alltoall_perf
#

