# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1371579 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1371580 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1371581 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1371582 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1371583 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1371584 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1371585 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1371586 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1883419 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1883420 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1883421 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1883422 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1883423 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1883424 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1883425 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1883426 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     0.20    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
           0             0     float    none      -1     0.18    0.00    0.00       0     0.18    0.00    0.00    N/A
         256             4     float    none      -1    41.62    0.01    0.01       0    41.28    0.01    0.01    N/A
         512             8     float    none      -1    40.61    0.01    0.01       0    40.52    0.01    0.01    N/A
        1024            16     float    none      -1    40.78    0.03    0.02       0    41.77    0.02    0.02    N/A
        2048            32     float    none      -1    41.81    0.05    0.05       0    40.49    0.05    0.05    N/A
        4096            64     float    none      -1    41.39    0.10    0.09       0    40.58    0.10    0.09    N/A
        8192           128     float    none      -1    41.05    0.20    0.19       0    41.87    0.20    0.18    N/A
       16384           256     float    none      -1    41.09    0.40    0.37       0    41.11    0.40    0.37    N/A
       32768           512     float    none      -1    42.77    0.77    0.72       0    42.59    0.77    0.72    N/A
       65536          1024     float    none      -1    42.70    1.53    1.44       0    43.15    1.52    1.42    N/A
      131072          2048     float    none      -1    44.96    2.92    2.73       0    48.71    2.69    2.52    N/A
      262144          4096     float    none      -1    51.04    5.14    4.82       0    52.14    5.03    4.71    N/A
      524288          8192     float    none      -1    60.41    8.68    8.14       0    60.30    8.69    8.15    N/A
     1048576         16384     float    none      -1    83.98   12.49   11.71       0    84.75   12.37   11.60    N/A
     2097152         32768     float    none      -1   107.63   19.48   18.27       0   108.28   19.37   18.16    N/A
     4194304         65536     float    none      -1   129.07   32.50   30.47       0   128.96   32.52   30.49    N/A
     8388608        131072     float    none      -1   176.01   47.66   44.68       0   173.21   48.43   45.40    N/A
    16777216        262144     float    none      -1   284.28   59.02   55.33       0   281.44   59.61   55.89    N/A
    33554432        524288     float    none      -1   469.56   71.46   66.99       0   466.71   71.90   67.40    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 10.2757 
#
# Collective test concluded: alltoall_perf
#

