# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1347981 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1347982 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1347983 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1347984 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1347985 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1347986 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1347987 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1347988 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1867355 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1867356 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1867357 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1867358 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1867359 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1867360 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1867361 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1867362 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0     9.58    0.00    0.00       0     9.50    0.00    0.00       0
           8             2     float    none       0     9.46    0.00    0.00       0     9.48    0.00    0.00       0
          16             4     float    none       0     9.50    0.00    0.00       0     9.49    0.00    0.00       0
          32             8     float    none       0     9.47    0.00    0.00       0     9.50    0.00    0.00       0
          64            16     float    none       0     9.49    0.01    0.01       0     9.52    0.01    0.01       0
         128            32     float    none       0     9.48    0.01    0.01       0     9.55    0.01    0.01       0
         256            64     float    none       0     9.79    0.03    0.03       0     9.62    0.03    0.03       0
         512           128     float    none       0     9.66    0.05    0.05       0     9.61    0.05    0.05       0
        1024           256     float    none       0     9.82    0.10    0.10       0     9.83    0.10    0.10       0
        2048           512     float    none       0    10.34    0.20    0.20       0    10.17    0.20    0.20       0
        4096          1024     float    none       0    10.95    0.37    0.37       0    10.87    0.38    0.38       0
        8192          2048     float    none       0    15.43    0.53    0.53       0    15.35    0.53    0.53       0
       16384          4096     float    none       0    17.10    0.96    0.96       0    16.93    0.97    0.97       0
       32768          8192     float    none       0    18.24    1.80    1.80       0    18.08    1.81    1.81       0
       65536         16384     float    none       0    32.03    2.05    2.05       0    31.87    2.06    2.06       0
      131072         32768     float    none       0    52.99    2.47    2.47       0    54.99    2.38    2.38       0
      262144         65536     float    none       0    61.81    4.24    4.24       0    65.93    3.98    3.98       0
      524288        131072     float    none       0    70.32    7.46    7.46       0    70.70    7.42    7.42       0
     1048576        262144     float    none       0    79.53   13.19   13.19       0    77.11   13.60   13.60       0
     2097152        524288     float    none       0    70.15   29.89   29.89       0    70.09   29.92   29.92       0
     4194304       1048576     float    none       0    91.41   45.89   45.89       0    91.80   45.69   45.69       0
     8388608       2097152     float    none       0   131.32   63.88   63.88       0   131.43   63.83   63.83       0
    16777216       4194304     float    none       0   171.25   97.97   97.97       0   177.64   94.45   94.45       0
    33554432       8388608     float    none       0   240.51  139.51  139.51       0   240.65  139.43  139.43       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 17.0302 
#
# Collective test concluded: broadcast_perf
#

