# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1019327 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1019328 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1019329 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1019330 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1019331 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1019332 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1019333 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1019334 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 2400977 on h200-bar-202-131 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 2400978 on h200-bar-202-131 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 2400979 on h200-bar-202-131 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 2400980 on h200-bar-202-131 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 2400981 on h200-bar-202-131 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 2400982 on h200-bar-202-131 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 2400983 on h200-bar-202-131 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 2400984 on h200-bar-202-131 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0     7.12    0.00    0.00       0     6.67    0.00    0.00       0
           8             2     float    none       0     6.59    0.00    0.00       0     6.69    0.00    0.00       0
          16             4     float    none       0     6.61    0.00    0.00       0     6.58    0.00    0.00       0
          32             8     float    none       0     6.57    0.00    0.00       0     6.63    0.00    0.00       0
          64            16     float    none       0     6.69    0.01    0.01       0     6.66    0.01    0.01       0
         128            32     float    none       0     6.62    0.02    0.02       0     6.64    0.02    0.02       0
         256            64     float    none       0     6.69    0.04    0.04       0     6.78    0.04    0.04       0
         512           128     float    none       0     6.66    0.08    0.08       0     6.65    0.08    0.08       0
        1024           256     float    none       0     7.03    0.15    0.15       0     6.99    0.15    0.15       0
        2048           512     float    none       0     7.46    0.27    0.27       0     7.48    0.27    0.27       0
        4096          1024     float    none       0     8.18    0.50    0.50       0     8.11    0.50    0.50       0
        8192          2048     float    none       0    10.10    0.81    0.81       0    10.02    0.82    0.82       0
       16384          4096     float    none       0    12.27    1.34    1.34       0    11.91    1.38    1.38       0
       32768          8192     float    none       0    13.09    2.50    2.50       0    12.97    2.53    2.53       0
       65536         16384     float    none       0    18.89    3.47    3.47       0    18.90    3.47    3.47       0
      131072         32768     float    none       0    42.43    3.09    3.09       0    42.50    3.08    3.08       0
      262144         65536     float    none       0    51.65    5.08    5.08       0    52.51    4.99    4.99       0
      524288        131072     float    none       0    55.29    9.48    9.48       0    56.42    9.29    9.29       0
     1048576        262144     float    none       0    64.34   16.30   16.30       0    64.10   16.36   16.36       0
     2097152        524288     float    none       0    64.72   32.40   32.40       0    64.74   32.39   32.39       0
     4194304       1048576     float    none       0    85.99   48.77   48.77       0    86.10   48.71   48.71       0
     8388608       2097152     float    none       0   126.18   66.48   66.48       0   126.23   66.46   66.46       0
    16777216       4194304     float    none       0   163.21  102.80  102.80       0   163.17  102.82  102.82       0
    33554432       8388608     float    none       0   224.56  149.42  149.42       0   225.48  148.81  148.81       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 18.4418 
#
# Collective test concluded: broadcast_perf
#

