# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1372575 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1372576 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1372577 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1372578 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1372579 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1372580 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1372581 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1372582 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1884039 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1884040 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1884041 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1884042 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1884043 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1884044 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1884045 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1884046 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0     9.73    0.00    0.00       0     9.45    0.00    0.00       0
           8             2     float    none       0     9.49    0.00    0.00       0     9.36    0.00    0.00       0
          16             4     float    none       0     9.46    0.00    0.00       0     9.38    0.00    0.00       0
          32             8     float    none       0     9.41    0.00    0.00       0     9.37    0.00    0.00       0
          64            16     float    none       0     9.49    0.01    0.01       0     9.40    0.01    0.01       0
         128            32     float    none       0     9.49    0.01    0.01       0     9.54    0.01    0.01       0
         256            64     float    none       0     9.96    0.03    0.03       0     9.50    0.03    0.03       0
         512           128     float    none       0     9.56    0.05    0.05       0     9.51    0.05    0.05       0
        1024           256     float    none       0     9.85    0.10    0.10       0     9.80    0.10    0.10       0
        2048           512     float    none       0    10.25    0.20    0.20       0    10.22    0.20    0.20       0
        4096          1024     float    none       0    10.96    0.37    0.37       0    10.89    0.38    0.38       0
        8192          2048     float    none       0    15.45    0.53    0.53       0    15.55    0.53    0.53       0
       16384          4096     float    none       0    16.96    0.97    0.97       0    16.78    0.98    0.98       0
       32768          8192     float    none       0    18.16    1.80    1.80       0    17.95    1.83    1.83       0
       65536         16384     float    none       0    31.80    2.06    2.06       0    31.83    2.06    2.06       0
      131072         32768     float    none       0    53.36    2.46    2.46       0    55.54    2.36    2.36       0
      262144         65536     float    none       0    61.89    4.24    4.24       0    66.17    3.96    3.96       0
      524288        131072     float    none       0    69.16    7.58    7.58       0    70.75    7.41    7.41       0
     1048576        262144     float    none       0    77.37   13.55   13.55       0    77.64   13.51   13.51       0
     2097152        524288     float    none       0    73.49   28.54   28.54       0    69.97   29.97   29.97       0
     4194304       1048576     float    none       0    91.21   45.98   45.98       0    91.94   45.62   45.62       0
     8388608       2097152     float    none       0   131.12   63.98   63.98       0   131.14   63.97   63.97       0
    16777216       4194304     float    none       0   171.22   97.99   97.99       0   171.32   97.93   97.93       0
    33554432       8388608     float    none       0   240.18  139.71  139.71       0   240.36  139.60  139.60       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 17.0971 
#
# Collective test concluded: broadcast_perf
#

