# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1349965 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1349966 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1349967 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1349968 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1349969 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1349970 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1349971 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1349972 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1868604 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1868605 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1868606 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1868607 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1868608 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1868609 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1868610 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1868611 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.19    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.26    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.17    0.00    0.00       0
         256             4     float     sum      -1    42.79    0.01    0.01       0    42.58    0.01    0.01       0
         512             8     float     sum      -1    42.83    0.01    0.01       0    44.43    0.01    0.01       0
        1024            16     float     sum      -1    42.98    0.02    0.02       0    42.75    0.02    0.02       0
        2048            32     float     sum      -1    43.15    0.05    0.04       0    42.91    0.05    0.04       0
        4096            64     float     sum      -1    43.06    0.10    0.09       0    42.76    0.10    0.09       0
        8192           128     float     sum      -1    43.27    0.19    0.18       0    42.86    0.19    0.18       0
       16384           256     float     sum      -1    44.03    0.37    0.35       0    43.78    0.37    0.35       0
       32768           512     float     sum      -1    45.09    0.73    0.68       0    44.64    0.73    0.69       0
       65536          1024     float     sum      -1    48.01    1.37    1.28       0    47.86    1.37    1.28       0
      131072          2048     float     sum      -1    50.20    2.61    2.45       0    50.10    2.62    2.45       0
      262144          4096     float     sum      -1    52.42    5.00    4.69       0    51.73    5.07    4.75       0
      524288          8192     float     sum      -1    53.74    9.76    9.15       0    52.95    9.90    9.28       0
     1048576         16384     float     sum      -1    67.48   15.54   14.57       0    66.23   15.83   14.84       0
     2097152         32768     float     sum      -1   172.18   12.18   11.42       0   172.01   12.19   11.43       0
     4194304         65536     float     sum      -1   177.02   23.69   22.21       0   177.09   23.69   22.20       0
     8388608        131072     float     sum      -1   187.08   44.84   42.04       0   190.66   44.00   41.25       0
    16777216        262144     float     sum      -1   226.55   74.05   69.43       0   226.31   74.13   69.50       0
    33554432        524288     float     sum      -1   275.01  122.01  114.38       0   276.64  121.29  113.71       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.1895 
#
# Collective test concluded: reduce_scatter_perf
#

