# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 1 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1374560 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1374561 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1374562 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1374563 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1374564 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1374565 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1374566 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1374567 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#  Rank  8 Group  0 Pid 1885296 on h200-bar-199-171 device  0 [0000:19:00] NVIDIA H200
#  Rank  9 Group  0 Pid 1885297 on h200-bar-199-171 device  1 [0000:2d:00] NVIDIA H200
#  Rank 10 Group  0 Pid 1885298 on h200-bar-199-171 device  2 [0000:3f:00] NVIDIA H200
#  Rank 11 Group  0 Pid 1885299 on h200-bar-199-171 device  3 [0000:66:00] NVIDIA H200
#  Rank 12 Group  0 Pid 1885300 on h200-bar-199-171 device  4 [0000:9b:00] NVIDIA H200
#  Rank 13 Group  0 Pid 1885301 on h200-bar-199-171 device  5 [0000:ae:00] NVIDIA H200
#  Rank 14 Group  0 Pid 1885302 on h200-bar-199-171 device  6 [0000:bf:00] NVIDIA H200
#  Rank 15 Group  0 Pid 1885303 on h200-bar-199-171 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     0.19    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.18    0.00    0.00       0
           0             0     float     sum      -1     0.17    0.00    0.00       0     0.18    0.00    0.00       0
         256             4     float     sum      -1    42.91    0.01    0.01       0    43.44    0.01    0.01       0
         512             8     float     sum      -1    42.98    0.01    0.01       0    43.17    0.01    0.01       0
        1024            16     float     sum      -1    43.12    0.02    0.02       0    42.98    0.02    0.02       0
        2048            32     float     sum      -1    43.22    0.05    0.04       0    42.96    0.05    0.04       0
        4096            64     float     sum      -1    42.99    0.10    0.09       0    42.82    0.10    0.09       0
        8192           128     float     sum      -1    43.38    0.19    0.18       0    42.97    0.19    0.18       0
       16384           256     float     sum      -1    44.18    0.37    0.35       0    44.08    0.37    0.35       0
       32768           512     float     sum      -1    45.29    0.72    0.68       0    45.00    0.73    0.68       0
       65536          1024     float     sum      -1    48.20    1.36    1.27       0    47.96    1.37    1.28       0
      131072          2048     float     sum      -1    50.19    2.61    2.45       0    50.04    2.62    2.46       0
      262144          4096     float     sum      -1    52.02    5.04    4.72       0    53.20    4.93    4.62       0
      524288          8192     float     sum      -1    53.23    9.85    9.23       0    53.35    9.83    9.21       0
     1048576         16384     float     sum      -1    69.15   15.16   14.22       0    67.89   15.45   14.48       0
     2097152         32768     float     sum      -1   172.28   12.17   11.41       0   172.56   12.15   11.39       0
     4194304         65536     float     sum      -1   176.70   23.74   22.25       0   177.06   23.69   22.21       0
     8388608        131072     float     sum      -1   189.27   44.32   41.55       0   188.15   44.59   41.80       0
    16777216        262144     float     sum      -1   226.70   74.01   69.38       0   226.14   74.19   69.55       0
    33554432        524288     float     sum      -1   275.79  121.67  114.06       0   275.42  121.83  114.22       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 12.1778 
#
# Collective test concluded: reduce_scatter_perf
#

