# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1373204 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1373204 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1373204 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1373204 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1373204 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1373204 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1373204 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1373204 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     1.07    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float    none      -1     1.06    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float    none      -1     1.04    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float    none      -1     1.05    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float    none      -1     1.05    0.00    0.00       0     1.05    0.00    0.00       0
         128             4     float    none      -1    34.50    0.00    0.00       0    34.43    0.00    0.00       0
         256             8     float    none      -1    34.10    0.01    0.01       0    34.00    0.01    0.01       0
         512            16     float    none      -1    33.96    0.02    0.01       0    34.43    0.01    0.01       0
        1024            32     float    none      -1    33.76    0.03    0.03       0    33.70    0.03    0.03       0
        2048            64     float    none      -1    33.76    0.06    0.05       0    34.27    0.06    0.05       0
        4096           128     float    none      -1    34.54    0.12    0.10       0    34.35    0.12    0.10       0
        8192           256     float    none      -1    33.98    0.24    0.21       0    33.90    0.24    0.21       0
       16384           512     float    none      -1    34.87    0.47    0.41       0    34.86    0.47    0.41       0
       32768          1024     float    none      -1    35.58    0.92    0.81       0    35.60    0.92    0.81       0
       65536          2048     float    none      -1    36.25    1.81    1.58       0    37.15    1.76    1.54       0
      131072          4096     float    none      -1    39.02    3.36    2.94       0    40.01    3.28    2.87       0
      262144          8192     float    none      -1    40.62    6.45    5.65       0    41.07    6.38    5.58       0
      524288         16384     float    none      -1    45.93   11.42    9.99       0    45.37   11.56   10.11       0
     1048576         32768     float    none      -1    46.69   22.46   19.65       0    44.60   23.51   20.57       0
     2097152         65536     float    none      -1    42.11   49.80   43.58       0    42.17   49.73   43.52       0
     4194304        131072     float    none      -1    43.51   96.39   84.35       0    46.09   91.00   79.62       0
     8388608        262144     float    none      -1    45.06  186.18  162.91       0    44.58  188.18  164.66       0
    16777216        524288     float    none      -1    66.14  253.68  221.97       0    65.59  255.80  223.83       0
    33554432       1048576     float    none      -1   122.22  274.54  240.22       0   119.40  281.02  245.89       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.2144 
#
# Collective test concluded: all_gather_perf
#

