# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1345611 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1345611 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1345611 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1345611 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1345611 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1345611 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1345611 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1345611 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    40.77    0.00    0.00       0    40.10    0.00    0.00       0
           8             2     float     sum      -1    40.27    0.00    0.00       0    39.70    0.00    0.00       0
          16             4     float     sum      -1    39.76    0.00    0.00       0    40.32    0.00    0.00       0
          32             8     float     sum      -1    40.23    0.00    0.00       0    39.69    0.00    0.00       0
          64            16     float     sum      -1    40.88    0.00    0.00       0    40.19    0.00    0.00       0
         128            32     float     sum      -1    40.00    0.00    0.01       0    40.82    0.00    0.01       0
         256            64     float     sum      -1    40.91    0.01    0.01       0    40.36    0.01    0.01       0
         512           128     float     sum      -1    40.61    0.01    0.02       0    40.28    0.01    0.02       0
        1024           256     float     sum      -1    40.75    0.03    0.04       0    40.44    0.03    0.04       0
        2048           512     float     sum      -1    40.80    0.05    0.09       0    41.24    0.05    0.09       0
        4096          1024     float     sum      -1    41.67    0.10    0.17       0    41.38    0.10    0.17       0
        8192          2048     float     sum      -1    42.57    0.19    0.34       0    42.27    0.19    0.34       0
       16384          4096     float     sum      -1    42.37    0.39    0.68       0    42.16    0.39    0.68       0
       32768          8192     float     sum      -1    42.93    0.76    1.34       0    42.38    0.77    1.35       0
       65536         16384     float     sum      -1    42.86    1.53    2.68       0    42.98    1.52    2.67       0
      131072         32768     float     sum      -1    43.47    3.01    5.28       0    43.86    2.99    5.23       0
      262144         65536     float     sum      -1    44.77    5.85   10.25       0    47.02    5.58    9.76       0
      524288        131072     float     sum      -1    45.25   11.59   20.28       0    45.19   11.60   20.30       0
     1048576        262144     float     sum      -1    47.94   21.87   38.28       0    47.26   22.19   38.82       0
     2097152        524288     float     sum      -1    45.95   45.64   79.86       0    45.97   45.62   79.84       0
     4194304       1048576     float     sum      -1    54.16   77.44  135.53       0    54.18   77.41  135.47       0
     8388608       2097152     float     sum      -1    82.72  101.40  177.46       0    82.32  101.90  178.33       0
    16777216       4194304     float     sum      -1   124.86  134.37  235.14       0   123.62  135.72  237.50       0
    33554432       8388608     float     sum      -1   198.63  168.93  295.63       0   199.45  168.24  294.42       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 41.8362 
#
# Collective test concluded: all_reduce_perf
#

