# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1013974 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1013974 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1013974 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1013974 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1013974 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1013974 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1013974 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1013974 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    35.18    0.00    0.00       0    34.32    0.00    0.00       0
           8             2     float     sum      -1    34.18    0.00    0.00       0    33.65    0.00    0.00       0
          16             4     float     sum      -1    33.71    0.00    0.00       0    33.65    0.00    0.00       0
          32             8     float     sum      -1    33.85    0.00    0.00       0    33.58    0.00    0.00       0
          64            16     float     sum      -1    33.90    0.00    0.00       0    34.06    0.00    0.00       0
         128            32     float     sum      -1    33.92    0.00    0.01       0    33.95    0.00    0.01       0
         256            64     float     sum      -1    34.11    0.01    0.01       0    34.43    0.01    0.01       0
         512           128     float     sum      -1    34.62    0.01    0.03       0    38.42    0.01    0.02       0
        1024           256     float     sum      -1    34.59    0.03    0.05       0    34.21    0.03    0.05       0
        2048           512     float     sum      -1    34.49    0.06    0.10       0    34.61    0.06    0.10       0
        4096          1024     float     sum      -1    36.12    0.11    0.20       0    35.98    0.11    0.20       0
        8192          2048     float     sum      -1    35.94    0.23    0.40       0    36.08    0.23    0.40       0
       16384          4096     float     sum      -1    37.08    0.44    0.77       0    36.31    0.45    0.79       0
       32768          8192     float     sum      -1    36.43    0.90    1.57       0    36.78    0.89    1.56       0
       65536         16384     float     sum      -1    36.85    1.78    3.11       0    37.54    1.75    3.06       0
      131072         32768     float     sum      -1    37.86    3.46    6.06       0    42.58    3.08    5.39       0
      262144         65536     float     sum      -1    40.24    6.51   11.40       0    38.20    6.86   12.01       0
      524288        131072     float     sum      -1    38.50   13.62   23.83       0    38.26   13.70   23.98       0
     1048576        262144     float     sum      -1    41.25   25.42   44.49       0    41.08   25.52   44.67       0
     2097152        524288     float     sum      -1    42.42   49.44   86.51       0    41.96   49.98   87.46       0
     4194304       1048576     float     sum      -1    51.69   81.14  141.99       0    50.72   82.69  144.71       0
     8388608       2097152     float     sum      -1    78.82  106.43  186.25       0    77.35  108.45  189.78       0
    16777216       4194304     float     sum      -1   119.59  140.29  245.52       0   116.13  144.47  252.82       0
    33554432       8388608     float     sum      -1   209.20  160.39  280.69       0   208.46  160.96  281.69       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 43.3689 
#
# Collective test concluded: all_reduce_perf
#

