# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1370206 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1370206 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1370206 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1370206 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1370206 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1370206 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1370206 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1370206 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    42.74    0.00    0.00       0    41.26    0.00    0.00       0
           8             2     float     sum      -1    40.67    0.00    0.00       0    41.45    0.00    0.00       0
          16             4     float     sum      -1    40.38    0.00    0.00       0    40.54    0.00    0.00       0
          32             8     float     sum      -1    40.86    0.00    0.00       0    40.47    0.00    0.00       0
          64            16     float     sum      -1    40.39    0.00    0.00       0    40.73    0.00    0.00       0
         128            32     float     sum      -1    41.79    0.00    0.01       0    41.95    0.00    0.01       0
         256            64     float     sum      -1    42.77    0.01    0.01       0    40.75    0.01    0.01       0
         512           128     float     sum      -1    40.89    0.01    0.02       0    41.57    0.01    0.02       0
        1024           256     float     sum      -1    40.57    0.03    0.04       0    41.16    0.02    0.04       0
        2048           512     float     sum      -1    41.87    0.05    0.09       0    41.20    0.05    0.09       0
        4096          1024     float     sum      -1    42.33    0.10    0.17       0    42.04    0.10    0.17       0
        8192          2048     float     sum      -1    42.79    0.19    0.34       0    43.05    0.19    0.33       0
       16384          4096     float     sum      -1    42.94    0.38    0.67       0    43.14    0.38    0.66       0
       32768          8192     float     sum      -1    43.00    0.76    1.33       0    42.82    0.77    1.34       0
       65536         16384     float     sum      -1    45.42    1.44    2.53       0    43.93    1.49    2.61       0
      131072         32768     float     sum      -1    44.70    2.93    5.13       0    46.82    2.80    4.90       0
      262144         65536     float     sum      -1    46.74    5.61    9.81       0    45.04    5.82   10.19       0
      524288        131072     float     sum      -1    46.56   11.26   19.71       0    47.59   11.02   19.28       0
     1048576        262144     float     sum      -1    49.88   21.02   36.79       0    49.79   21.06   36.86       0
     2097152        524288     float     sum      -1    46.96   44.66   78.15       0    47.69   43.97   76.95       0
     4194304       1048576     float     sum      -1    55.64   75.39  131.93       0    54.03   77.64  135.86       0
     8388608       2097152     float     sum      -1    82.78  101.34  177.34       0    82.10  102.18  178.82       0
    16777216       4194304     float     sum      -1   124.63  134.61  235.57       0   123.73  135.59  237.29       0
    33554432       8388608     float     sum      -1   198.30  169.21  296.12       0   199.45  168.24  294.42       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 41.5751 
#
# Collective test concluded: all_reduce_perf
#

