# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 3868684 on h200-bar-202-059 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 3868684 on h200-bar-202-059 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 3868684 on h200-bar-202-059 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 3868684 on h200-bar-202-059 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 3868684 on h200-bar-202-059 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 3868684 on h200-bar-202-059 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 3868684 on h200-bar-202-059 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 3868684 on h200-bar-202-059 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float     sum      -1    34.05    0.00    0.00       0    34.89    0.00    0.00       0
           8             2     float     sum      -1    34.69    0.00    0.00       0    34.60    0.00    0.00       0
          16             4     float     sum      -1    34.97    0.00    0.00       0    35.19    0.00    0.00       0
          32             8     float     sum      -1    35.01    0.00    0.00       0    34.50    0.00    0.00       0
          64            16     float     sum      -1    34.86    0.00    0.00       0    34.81    0.00    0.00       0
         128            32     float     sum      -1    35.03    0.00    0.01       0    35.68    0.00    0.01       0
         256            64     float     sum      -1    35.55    0.01    0.01       0    35.16    0.01    0.01       0
         512           128     float     sum      -1    35.29    0.01    0.03       0    35.57    0.01    0.03       0
        1024           256     float     sum      -1    35.53    0.03    0.05       0    35.55    0.03    0.05       0
        2048           512     float     sum      -1    36.20    0.06    0.10       0    34.39    0.06    0.10       0
        4096          1024     float     sum      -1    35.28    0.12    0.20       0    35.27    0.12    0.20       0
        8192          2048     float     sum      -1    35.77    0.23    0.40       0    35.49    0.23    0.40       0
       16384          4096     float     sum      -1    35.85    0.46    0.80       0    35.88    0.46    0.80       0
       32768          8192     float     sum      -1    36.06    0.91    1.59       0    35.81    0.92    1.60       0
       65536         16384     float     sum      -1    36.72    1.78    3.12       0    35.96    1.82    3.19       0
      131072         32768     float     sum      -1    37.29    3.52    6.15       0    37.35    3.51    6.14       0
      262144         65536     float     sum      -1    37.79    6.94   12.14       0    37.74    6.95   12.16       0
      524288        131072     float     sum      -1    38.77   13.52   23.66       0    38.73   13.54   23.69       0
     1048576        262144     float     sum      -1    41.32   25.38   44.41       0    40.50   25.89   45.31       0
     2097152        524288     float     sum      -1    41.60   50.41   88.21       0    41.43   50.62   88.59       0
     4194304       1048576     float     sum      -1    54.09   77.54  135.70       0    53.88   77.85  136.24       0
     8388608       2097152     float     sum      -1    82.69  101.44  177.53       0    81.89  102.44  179.27       0
    16777216       4194304     float     sum      -1   124.25  135.02  236.29       0   123.44  135.92  237.85       0
    33554432       8388608     float     sum      -1   198.62  168.94  295.64       0   199.06  168.56  294.98       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 42.848 
#
# Collective test concluded: all_reduce_perf
#

