# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1408332 on h200-bar-202-061 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1408332 on h200-bar-202-061 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1408332 on h200-bar-202-061 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1408332 on h200-bar-202-061 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1408332 on h200-bar-202-061 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1408332 on h200-bar-202-061 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1408332 on h200-bar-202-061 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1408332 on h200-bar-202-061 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     1.07    0.00    0.00       0     1.07    0.00    0.00    N/A
           0             0     float    none      -1     1.46    0.00    0.00       0     1.07    0.00    0.00    N/A
           0             0     float    none      -1     1.07    0.00    0.00       0     1.03    0.00    0.00    N/A
           0             0     float    none      -1     1.06    0.00    0.00       0     1.06    0.00    0.00    N/A
           0             0     float    none      -1     1.05    0.00    0.00       0     1.05    0.00    0.00    N/A
         128             4     float    none      -1    49.63    0.00    0.00       0    48.87    0.00    0.00    N/A
         256             8     float    none      -1    48.95    0.01    0.00       0    48.23    0.01    0.00    N/A
         512            16     float    none      -1    48.66    0.01    0.01       0    47.17    0.01    0.01    N/A
        1024            32     float    none      -1    48.32    0.02    0.02       0    48.22    0.02    0.02    N/A
        2048            64     float    none      -1    47.68    0.04    0.04       0    48.80    0.04    0.04    N/A
        4096           128     float    none      -1    49.23    0.08    0.07       0    48.24    0.08    0.07    N/A
        8192           256     float    none      -1    48.48    0.17    0.15       0    47.83    0.17    0.15    N/A
       16384           512     float    none      -1    50.14    0.33    0.29       0    48.48    0.34    0.30    N/A
       32768          1024     float    none      -1    50.79    0.65    0.56       0    47.50    0.69    0.60    N/A
       65536          2048     float    none      -1    47.86    1.37    1.20       0    47.76    1.37    1.20    N/A
      131072          4096     float    none      -1    47.76    2.74    2.40       0    48.15    2.72    2.38    N/A
      262144          8192     float    none      -1    48.67    5.39    4.71       0    50.80    5.16    4.52    N/A
      524288         16384     float    none      -1    48.63   10.78    9.43       0    47.60   11.01    9.64    N/A
     1048576         32768     float    none      -1    52.71   19.89   17.41       0    50.27   20.86   18.25    N/A
     2097152         65536     float    none      -1    56.79   36.93   32.31       0    56.22   37.30   32.64    N/A
     4194304        131072     float    none      -1    56.80   73.85   64.62       0    56.70   73.97   64.73    N/A
     8388608        262144     float    none      -1    58.46  143.49  125.55       0    58.13  144.31  126.27    N/A
    16777216        524288     float    none      -1    74.19  226.13  197.87       0    72.91  230.09  201.33    N/A
    33554432       1048576     float    none      -1   125.44  267.49  234.05       0   125.76  266.82  233.46    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.8814 
#
# Collective test concluded: alltoall_perf
#

