# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1014973 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1014973 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1014973 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1014973 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1014973 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1014973 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1014973 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1014973 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     1.07    0.00    0.00       0     1.06    0.00    0.00    N/A
           0             0     float    none      -1     1.06    0.00    0.00       0     1.05    0.00    0.00    N/A
           0             0     float    none      -1     1.05    0.00    0.00       0     1.05    0.00    0.00    N/A
           0             0     float    none      -1     1.07    0.00    0.00       0     1.06    0.00    0.00    N/A
           0             0     float    none      -1     1.06    0.00    0.00       0     1.04    0.00    0.00    N/A
         128             4     float    none      -1    49.79    0.00    0.00       0    49.89    0.00    0.00    N/A
         256             8     float    none      -1    48.38    0.01    0.00       0    47.49    0.01    0.00    N/A
         512            16     float    none      -1    48.49    0.01    0.01       0    47.56    0.01    0.01    N/A
        1024            32     float    none      -1    49.43    0.02    0.02       0    49.49    0.02    0.02    N/A
        2048            64     float    none      -1    48.08    0.04    0.04       0    47.48    0.04    0.04    N/A
        4096           128     float    none      -1    50.17    0.08    0.07       0    47.63    0.09    0.08    N/A
        8192           256     float    none      -1    48.81    0.17    0.15       0    49.07    0.17    0.15    N/A
       16384           512     float    none      -1    49.95    0.33    0.29       0    47.71    0.34    0.30    N/A
       32768          1024     float    none      -1    48.04    0.68    0.60       0    47.70    0.69    0.60    N/A
       65536          2048     float    none      -1    47.90    1.37    1.20       0    48.02    1.36    1.19    N/A
      131072          4096     float    none      -1    48.40    2.71    2.37       0    47.38    2.77    2.42    N/A
      262144          8192     float    none      -1    48.18    5.44    4.76       0    48.10    5.45    4.77    N/A
      524288         16384     float    none      -1    48.46   10.82    9.47       0    47.73   10.98    9.61    N/A
     1048576         32768     float    none      -1    51.39   20.41   17.86       0    50.89   20.61   18.03    N/A
     2097152         65536     float    none      -1    56.50   37.12   32.48       0    56.25   37.28   32.62    N/A
     4194304        131072     float    none      -1    57.34   73.15   64.01       0    56.26   74.55   65.23    N/A
     8388608        262144     float    none      -1    57.64  145.53  127.34       0    58.54  143.29  125.38    N/A
    16777216        524288     float    none      -1    74.62  224.84  196.74       0    71.86  233.48  204.29    N/A
    33554432       1048576     float    none      -1   124.30  269.94  236.20       0   128.37  261.38  228.71    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.8966 
#
# Collective test concluded: alltoall_perf
#

