# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: alltoall_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1371210 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1371210 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1371210 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1371210 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1371210 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1371210 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1371210 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1371210 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     1.06    0.00    0.00       0     1.05    0.00    0.00    N/A
           0             0     float    none      -1     1.06    0.00    0.00       0     1.04    0.00    0.00    N/A
           0             0     float    none      -1     1.05    0.00    0.00       0     1.05    0.00    0.00    N/A
           0             0     float    none      -1     1.04    0.00    0.00       0     1.05    0.00    0.00    N/A
           0             0     float    none      -1     1.05    0.00    0.00       0     1.06    0.00    0.00    N/A
         128             4     float    none      -1    50.77    0.00    0.00       0    47.95    0.00    0.00    N/A
         256             8     float    none      -1    48.51    0.01    0.00       0    48.23    0.01    0.00    N/A
         512            16     float    none      -1    48.28    0.01    0.01       0    48.17    0.01    0.01    N/A
        1024            32     float    none      -1    48.07    0.02    0.02       0    48.17    0.02    0.02    N/A
        2048            64     float    none      -1    48.43    0.04    0.04       0    47.43    0.04    0.04    N/A
        4096           128     float    none      -1    48.30    0.08    0.07       0    48.48    0.08    0.07    N/A
        8192           256     float    none      -1    48.37    0.17    0.15       0    47.38    0.17    0.15    N/A
       16384           512     float    none      -1    48.54    0.34    0.30       0    48.11    0.34    0.30    N/A
       32768          1024     float    none      -1    48.79    0.67    0.59       0    48.07    0.68    0.60    N/A
       65536          2048     float    none      -1    48.12    1.36    1.19       0    48.12    1.36    1.19    N/A
      131072          4096     float    none      -1    48.03    2.73    2.39       0    48.18    2.72    2.38    N/A
      262144          8192     float    none      -1    48.57    5.40    4.72       0    50.01    5.24    4.59    N/A
      524288         16384     float    none      -1    49.50   10.59    9.27       0    50.07   10.47    9.16    N/A
     1048576         32768     float    none      -1    54.40   19.28   16.87       0    57.56   18.22   15.94    N/A
     2097152         65536     float    none      -1    60.75   34.52   30.21       0    59.52   35.23   30.83    N/A
     4194304        131072     float    none      -1    65.30   64.23   56.20       0    57.10   73.46   64.28    N/A
     8388608        262144     float    none      -1    58.31  143.87  125.89       0    57.34  146.29  128.01    N/A
    16777216        524288     float    none      -1    72.65  230.94  202.07       0    71.33  235.20  205.80    N/A
    33554432       1048576     float    none      -1   125.13  268.16  234.64       0   124.30  269.95  236.20    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 28.8373 
#
# Collective test concluded: alltoall_perf
#

