# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1347604 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1347604 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1347604 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1347604 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1347604 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1347604 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1347604 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1347604 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    32.60    0.00    0.00       0    31.84    0.00    0.00       0
           8             2     float    none       0    31.86    0.00    0.00       0    31.83    0.00    0.00       0
          16             4     float    none       0    31.84    0.00    0.00       0    31.67    0.00    0.00       0
          32             8     float    none       0    31.80    0.00    0.00       0    32.12    0.00    0.00       0
          64            16     float    none       0    32.26    0.00    0.00       0    31.88    0.00    0.00       0
         128            32     float    none       0    31.72    0.00    0.00       0    32.04    0.00    0.00       0
         256            64     float    none       0    48.48    0.01    0.01       0    32.68    0.01    0.01       0
         512           128     float    none       0    33.10    0.02    0.02       0    32.50    0.02    0.02       0
        1024           256     float    none       0    32.84    0.03    0.03       0    32.88    0.03    0.03       0
        2048           512     float    none       0    32.91    0.06    0.06       0    32.83    0.06    0.06       0
        4096          1024     float    none       0    32.66    0.13    0.13       0    32.48    0.13    0.13       0
        8192          2048     float    none       0    32.71    0.25    0.25       0    32.99    0.25    0.25       0
       16384          4096     float    none       0    33.17    0.49    0.49       0    32.70    0.50    0.50       0
       32768          8192     float    none       0    32.90    1.00    1.00       0    33.25    0.99    0.99       0
       65536         16384     float    none       0    33.18    1.98    1.98       0    33.54    1.95    1.95       0
      131072         32768     float    none       0    34.35    3.82    3.82       0    34.02    3.85    3.85       0
      262144         65536     float    none       0    35.36    7.41    7.41       0    34.90    7.51    7.51       0
      524288        131072     float    none       0    37.09   14.14   14.14       0    36.78   14.26   14.26       0
     1048576        262144     float    none       0    38.45   27.27   27.27       0    38.71   27.09   27.09       0
     2097152        524288     float    none       0    41.41   50.65   50.65       0   157.03   13.35   13.35       0
     4194304       1048576     float    none       0    45.64   91.90   91.90       0    42.53   98.62   98.62       0
     8388608       2097152     float    none       0    48.89  171.58  171.58       0    48.74  172.11  172.11       0
    16777216       4194304     float    none       0    78.90  212.65  212.65       0    78.78  212.95  212.95       0
    33554432       8388608     float    none       0   126.65  264.93  264.93       0   126.79  264.65  264.65       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 34.7217 
#
# Collective test concluded: broadcast_perf
#

