# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1015970 on h200-bar-202-129 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1015970 on h200-bar-202-129 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1015970 on h200-bar-202-129 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1015970 on h200-bar-202-129 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1015970 on h200-bar-202-129 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1015970 on h200-bar-202-129 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1015970 on h200-bar-202-129 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1015970 on h200-bar-202-129 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    39.32    0.00    0.00       0    38.47    0.00    0.00       0
           8             2     float    none       0    40.08    0.00    0.00       0    38.61    0.00    0.00       0
          16             4     float    none       0    38.78    0.00    0.00       0    39.92    0.00    0.00       0
          32             8     float    none       0    39.58    0.00    0.00       0    39.41    0.00    0.00       0
          64            16     float    none       0    39.19    0.00    0.00       0    38.76    0.00    0.00       0
         128            32     float    none       0    39.38    0.00    0.00       0    41.20    0.00    0.00       0
         256            64     float    none       0    42.70    0.01    0.01       0    40.03    0.01    0.01       0
         512           128     float    none       0    40.58    0.01    0.01       0    39.90    0.01    0.01       0
        1024           256     float    none       0    40.04    0.03    0.03       0    39.72    0.03    0.03       0
        2048           512     float    none       0    40.44    0.05    0.05       0    39.88    0.05    0.05       0
        4096          1024     float    none       0    39.63    0.10    0.10       0    40.20    0.10    0.10       0
        8192          2048     float    none       0    39.74    0.21    0.21       0    39.85    0.21    0.21       0
       16384          4096     float    none       0    40.71    0.40    0.40       0    40.41    0.41    0.41       0
       32768          8192     float    none       0    39.96    0.82    0.82       0    39.79    0.82    0.82       0
       65536         16384     float    none       0    40.25    1.63    1.63       0    40.40    1.62    1.62       0
      131072         32768     float    none       0    41.14    3.19    3.19       0    41.81    3.14    3.14       0
      262144         65536     float    none       0    42.46    6.17    6.17       0    42.84    6.12    6.12       0
      524288        131072     float    none       0    44.65   11.74   11.74       0    44.59   11.76   11.76       0
     1048576        262144     float    none       0    45.95   22.82   22.82       0    45.93   22.83   22.83       0
     2097152        524288     float    none       0    49.83   42.09   42.09       0    49.00   42.80   42.80       0
     4194304       1048576     float    none       0    52.57   79.78   79.78       0    49.54   84.66   84.66       0
     8388608       2097152     float    none       0    56.57  148.29  148.29       0    54.48  153.97  153.97       0
    16777216       4194304     float    none       0    79.11  212.08  212.08       0    79.11  212.07  212.07       0
    33554432       8388608     float    none       0   127.36  263.46  263.46       0   127.70  262.75  262.75       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.2549 
#
# Collective test concluded: broadcast_perf
#

