# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1377182 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1377182 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1377182 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1377182 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1377182 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1377182 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1377182 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1377182 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           4             1     float    none       0    32.09    0.00    0.00       0    31.89    0.00    0.00       0
           8             2     float    none       0    31.47    0.00    0.00       0    31.09    0.00    0.00       0
          16             4     float    none       0    31.68    0.00    0.00       0    31.57    0.00    0.00       0
          32             8     float    none       0    31.47    0.00    0.00       0    31.43    0.00    0.00       0
          64            16     float    none       0    31.82    0.00    0.00       0    31.68    0.00    0.00       0
         128            32     float    none       0    31.50    0.00    0.00       0    31.34    0.00    0.00       0
         256            64     float    none       0    48.22    0.01    0.01       0    32.37    0.01    0.01       0
         512           128     float    none       0    32.79    0.02    0.02       0    32.23    0.02    0.02       0
        1024           256     float    none       0    32.44    0.03    0.03       0    32.89    0.03    0.03       0
        2048           512     float    none       0    32.76    0.06    0.06       0    32.51    0.06    0.06       0
        4096          1024     float    none       0    32.66    0.13    0.13       0    32.13    0.13    0.13       0
        8192          2048     float    none       0    32.43    0.25    0.25       0    32.55    0.25    0.25       0
       16384          4096     float    none       0    32.96    0.50    0.50       0    32.64    0.50    0.50       0
       32768          8192     float    none       0    32.78    1.00    1.00       0    32.95    0.99    0.99       0
       65536         16384     float    none       0    33.30    1.97    1.97       0    33.34    1.97    1.97       0
      131072         32768     float    none       0    35.04    3.74    3.74       0    34.38    3.81    3.81       0
      262144         65536     float    none       0    36.81    7.12    7.12       0    36.98    7.09    7.09       0
      524288        131072     float    none       0    38.57   13.59   13.59       0    37.96   13.81   13.81       0
     1048576        262144     float    none       0    42.82   24.49   24.49       0    43.08   24.34   24.34       0
     2097152        524288     float    none       0    45.56   46.03   46.03       0    45.55   46.04   46.04       0
     4194304       1048576     float    none       0    49.49   84.75   84.75       0    46.10   90.98   90.98       0
     8388608       2097152     float    none       0    50.96  164.62  164.62       0    50.60  165.79  165.79       0
    16777216       4194304     float    none       0    78.72  213.13  213.13       0    79.07  212.18  212.18       0
    33554432       8388608     float    none       0   126.58  265.08  265.08       0   127.41  263.36  263.36       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 34.5396 
#
# Collective test concluded: broadcast_perf
#

