# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1349597 on h200-bar-196-217 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 1349597 on h200-bar-196-217 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 1349597 on h200-bar-196-217 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 1349597 on h200-bar-196-217 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 1349597 on h200-bar-196-217 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 1349597 on h200-bar-196-217 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 1349597 on h200-bar-196-217 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 1349597 on h200-bar-196-217 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     1.07    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float     sum      -1     1.05    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float     sum      -1     1.05    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float     sum      -1     1.06    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float     sum      -1     1.06    0.00    0.00       0     1.08    0.00    0.00       0
         128             4     float     sum      -1    34.92    0.00    0.00       0    33.97    0.00    0.00       0
         256             8     float     sum      -1    34.41    0.01    0.01       0    34.37    0.01    0.01       0
         512            16     float     sum      -1    34.38    0.01    0.01       0    34.38    0.01    0.01       0
        1024            32     float     sum      -1    34.44    0.03    0.03       0    34.23    0.03    0.03       0
        2048            64     float     sum      -1    34.26    0.06    0.05       0    34.48    0.06    0.05       0
        4096           128     float     sum      -1    34.65    0.12    0.10       0    33.98    0.12    0.11       0
        8192           256     float     sum      -1    34.28    0.24    0.21       0    33.91    0.24    0.21       0
       16384           512     float     sum      -1    34.89    0.47    0.41       0    34.99    0.47    0.41       0
       32768          1024     float     sum      -1    35.56    0.92    0.81       0    35.57    0.92    0.81       0
       65536          2048     float     sum      -1    37.26    1.76    1.54       0    36.76    1.78    1.56       0
      131072          4096     float     sum      -1    37.84    3.46    3.03       0    37.63    3.48    3.05       0
      262144          8192     float     sum      -1    38.47    6.81    5.96       0    38.50    6.81    5.96       0
      524288         16384     float     sum      -1    40.58   12.92   11.31       0    40.45   12.96   11.34       0
     1048576         32768     float     sum      -1    41.66   25.17   22.02       0    41.92   25.02   21.89       0
     2097152         65536     float     sum      -1    42.36   49.51   43.32       0    42.01   49.92   43.68       0
     4194304        131072     float     sum      -1    40.96  102.39   89.59       0    41.43  101.24   88.58       0
     8388608        262144     float     sum      -1    47.19  177.76  155.54       0    46.82  179.17  156.77       0
    16777216        524288     float     sum      -1    68.80  243.87  213.39       0    69.17  242.56  212.24       0
    33554432       1048576     float     sum      -1   113.25  296.29  259.25       0   112.03  299.52  262.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.6532 
#
# Collective test concluded: reduce_scatter_perf
#

