# nccl-tests version 2.18.3 nccl-headers=23004 nccl-library=23004
# Collective test starting: reduce_scatter_perf
# nThread 1 nGpus 8 minBytes 4 maxBytes 33554432 step: 2(factor) warmup iters: 5 iters: 20 agg iters: 1 validation: 1 graph: 0 unalign: 0
#
# Using devices
#  Rank  0 Group  0 Pid 3869058 on h200-bar-202-059 device  0 [0000:19:00] NVIDIA H200
#  Rank  1 Group  0 Pid 3869058 on h200-bar-202-059 device  1 [0000:2d:00] NVIDIA H200
#  Rank  2 Group  0 Pid 3869058 on h200-bar-202-059 device  2 [0000:3f:00] NVIDIA H200
#  Rank  3 Group  0 Pid 3869058 on h200-bar-202-059 device  3 [0000:66:00] NVIDIA H200
#  Rank  4 Group  0 Pid 3869058 on h200-bar-202-059 device  4 [0000:9b:00] NVIDIA H200
#  Rank  5 Group  0 Pid 3869058 on h200-bar-202-059 device  5 [0000:ae:00] NVIDIA H200
#  Rank  6 Group  0 Pid 3869058 on h200-bar-202-059 device  6 [0000:bf:00] NVIDIA H200
#  Rank  7 Group  0 Pid 3869058 on h200-bar-202-059 device  7 [0000:e4:00] NVIDIA H200
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float     sum      -1     1.09    0.00    0.00       0     1.07    0.00    0.00       0
           0             0     float     sum      -1     1.07    0.00    0.00       0     1.06    0.00    0.00       0
           0             0     float     sum      -1     1.06    0.00    0.00       0     1.05    0.00    0.00       0
           0             0     float     sum      -1     1.26    0.00    0.00       0     1.07    0.00    0.00       0
           0             0     float     sum      -1     1.07    0.00    0.00       0     1.07    0.00    0.00       0
         128             4     float     sum      -1    34.51    0.00    0.00       0    34.11    0.00    0.00       0
         256             8     float     sum      -1    33.93    0.01    0.01       0    33.85    0.01    0.01       0
         512            16     float     sum      -1    33.94    0.02    0.01       0    34.18    0.01    0.01       0
        1024            32     float     sum      -1    34.19    0.03    0.03       0    33.91    0.03    0.03       0
        2048            64     float     sum      -1    33.94    0.06    0.05       0    34.27    0.06    0.05       0
        4096           128     float     sum      -1    34.68    0.12    0.10       0    34.19    0.12    0.10       0
        8192           256     float     sum      -1    34.65    0.24    0.21       0    33.82    0.24    0.21       0
       16384           512     float     sum      -1    34.86    0.47    0.41       0    35.16    0.47    0.41       0
       32768          1024     float     sum      -1    35.05    0.93    0.82       0    36.08    0.91    0.79       0
       65536          2048     float     sum      -1    36.82    1.78    1.56       0    36.95    1.77    1.55       0
      131072          4096     float     sum      -1    37.54    3.49    3.06       0    37.80    3.47    3.03       0
      262144          8192     float     sum      -1    38.75    6.77    5.92       0    38.02    6.90    6.03       0
      524288         16384     float     sum      -1    40.79   12.85   11.25       0    41.13   12.75   11.15       0
     1048576         32768     float     sum      -1    42.04   24.94   21.82       0    42.49   24.68   21.59       0
     2097152         65536     float     sum      -1    42.71   49.10   42.96       0    43.84   47.83   41.85       0
     4194304        131072     float     sum      -1    43.45   96.53   84.46       0    41.40  101.30   88.64       0
     8388608        262144     float     sum      -1    47.31  177.33  155.16       0    46.70  179.64  157.18       0
    16777216        524288     float     sum      -1    68.64  244.42  213.86       0    68.74  244.06  213.55       0
    33554432       1048576     float     sum      -1   112.51  298.24  260.96       0   111.89  299.89  262.40       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 33.5684 
#
# Collective test concluded: reduce_scatter_perf
#

