Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 0 device name: NVIDIA H200 bus id: 25 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_get_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.001291        
8           None      0.002778        
16          None      0.005423        
32          None      0.011123        
64          None      0.022321        
128         None      0.044643        
256         None      0.026605        
512         None      0.053422        
1024        None      0.102531        
2048        None      0.205523        
4096        None      0.403150        
8192        None      0.804525        
16384       None      1.542633        
32768       None      3.152709        
65536       None      6.326846        
131072      None      12.322503       
262144      None      20.850090       
524288      None      30.983356       
1048576     None      36.020668       
2097152     None      38.730568       
4194304     None      40.321163       
8388608     None      41.105797       
16777216    None      41.532040       
33554432    None      40.293892       
