Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_g_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001440        
8           None      0.003001        
16          None      0.006090        
32          None      0.012210        
64          None      0.024510        
128         None      0.048193        
256         None      0.096386        
512         None      0.195360        
1024        None      0.390720        
2048        None      0.773881        
4096        None      1.443067        
8192        None      2.899207        
16384       None      4.394850        
32768       None      5.874928        
65536       None      7.011298        
131072      None      7.828747        
262144      None      8.278092        
524288      None      8.536001        
1048576     None      8.676358        
2097152     None      8.752020        
4194304     None      8.778456        
8388608     None      8.801475        
16777216    None      7.436878        
33554432    None      7.445490        
