Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_p_bw
size(B)     scope     BW (GB/sec)     
4           None      0.001969        
8           None      0.004092        
16          None      0.008418        
32          None      0.016393        
64          None      0.033167        
128         None      0.065681        
256         None      0.131579        
512         None      0.254372        
1024        None      0.546075        
2048        None      1.025641        
4096        None      2.025316        
8192        None      4.162601        
16384       None      7.804878        
32768       None      15.170370       
65536       None      28.093277       
131072      None      48.703926       
262144      None      78.167946       
524288      None      103.893471      
1048576     None      130.238464      
2097152     None      148.708878      
4194304     None      159.590881      
8388608     None      166.673447      
16777216    None      169.820877      
33554432    None      171.563019      
