Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
mype: 1 mype_node: 1 device name: NVIDIA H200 bus id: 45 
Runtime options after parsing command line arguments 
min_size: 4, max_size: 33554432, step_factor: 2, iterations: 10, warmup iterations: 5, number of ctas: 32, threads per cta: 256 stride: 1, datatype: int, reduce_op: sum, threadgroup_scope: all_scopes, atomic_op: inc, dir: write, report_msgrate: 0, bidirectional: 0, putget_issue :on_stream, use_graph: 0, use_mmap: 0, mem_handle_type: 0, use_egm: 0
Note: Above is full list of options, any given test will use only a subset of these variables.
NVSHMEM v3.3.9
mype: 0 mype_node: 0 device name: NVIDIA H200 bus id: 25 
#shmem_put_bw_uni
size(B)     scope     BW (GB/sec)     
4           None      0.001836        
8           None      0.003671        
16          None      0.007692        
32          None      0.014556        
64          None      0.029455        
128         None      0.059613        
256         None      0.104712        
512         None      0.215054        
1024        None      0.424967        
2048        None      0.860215        
4096        None      1.679790        
8192        None      3.395225        
16384       None      6.844920        
32768       None      13.819163       
65536       None      27.054163       
131072      None      52.512821       
262144      None      90.820404       
524288      None      145.119568      
1048576     None      206.347610      
2097152     None      247.305664      
4194304     None      277.459778      
8388608     None      287.438629      
16777216    None      296.694031      
33554432    None      301.913544      
